#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2004-12-14T02:35:30
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml23538
#INFO	CatalogsExamined=2
#  2 catalogues with potential matches were examined
#
#INFO	Target=201.298247-11.161322,bm=600.000000/600.

#RESOURCE=1289
#Name: I/289
#Title:	UCAC2 Catalogue (Zacharias+ 2003)
#Table	I_289_out:
#Name: I/289/out
#Title:	The Second U.S. Naval Observatory CCD Astrograph Catalog
#Coosys	J2000_2000.000:	eq_FK5 2000_2000.000
#Column	_r	(F8.6)	Distance from center (RA(ICRS)=201.2982472, DE(ICRS)=-11.1613219)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_RAJ2000	(A12)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(A12)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	2UCAC	(I8)	[00000001,48330571] UCAC designation (1)        (link)	[ucd=ID_MAIN]
#Column	RA(ICRS)	(F11.7)	Right ascension (degrees), ICRS, Ep=J2000 (2)	[ucd=POS_EQ_RA_MAIN]
#Column	DE(ICRS)	(F11.7)	Declination (degrees), ICRS, Ep=J2000 (2)	[ucd=POS_EQ_DEC_MAIN]
#Column	e_RAdeg	(I3)	Minimal mean error on RAdeg (3)	[ucd=ERROR]
#Column	e_DEdeg	(I3)	Minimal mean error on DEdeg (3)	[ucd=ERROR]
#Column	UCmag	(F5.2)	Magnitude in UCAC system (579-642nm) (5)	[ucd=PHOT_MAG_OPTICAL]
#Column	No	(I2)	Number of UCAC observations for the star	[ucd=NUMBER]
#Column	Nc	(I2)	Number of catalog positions used for pmRA, pmDE	[ucd=NUMBER]
#Column	pmRA	(F8.1)	Proper motion in RA(*cos(Dec)) (7)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.1)	Proper motion in Dec	[ucd=POS_EQ_PMDEC]
#Column	2Mkey	(I10)	2MASS (II/246) Unique source identifier        (link)	[ucd=ID_CROSSID]
#Column	Jmag	(F6.3)	? J magnitude (1.2um) from 2MASS	[ucd=PHOT_JHN_J]
#Column	Kmag	(F6.3)	? K magnitude (2.2um) from 2MASS	[ucd=PHOT_JHN_K]

_r	_RAJ2000	_DEJ2000	2UCAC	RA(ICRS)	DE(ICRS)	e_RAdeg	e_DEdeg	UCmag	No	Nc	pmRA	pmDE	2Mkey	Jmag	Kmag
   47483	2.566514	13 15 53.972	-12 21 00.50	50047483	198.97488387	-12.35013943	  0.75	  0.51	H	   17.97	  -19.600	 1.253	  7.28	5540	  882	1	 64718	1237969351	 5.157
   47478	2.633057	13 14 53.386	-10 25 57.02	50047478	198.72244070	-10.43250544	  9.71	 14.36	D	   31.26	  -21.510	      	      	5540	  172	1	 64635	 266861091	 7.761
   47477	2.633143	13 14 53.371	-10 25 56.66	50047477	198.72238003	-10.43240651	 14.57	 19.38	D	   -7.64	   11.310	      	      	5540	  172	1	 64635	 266861091	 7.761
   47484	2.634523	13 16 13.693	-12 37 16.45	50047484	199.05705240	-12.62123477	  0.95	  0.58	H	   36.38	  -25.750	 1.116	  8.16	5543	   86	1	 64750	1237971498	 6.346
   47527	2.637107	13 35 18.016	-10 16 20.07	50047527	203.82506738	-10.27224042	 13.00	 17.00	T	   12.50	   15.800	      	      	5548	  485	1	      	 300062348	 7.173
   51124	2.665114	13 20 39.723	-08 44 27.37	50051124	200.16551401	-08.74093598	 11.00	 15.00	T	  -80.13	   -1.900	      	      	5544	   28	1	      	 287081232	 8.408
   47476	2.683506	13 14 45.114	-10 22 13.37	50047476	198.68797577	-10.37038157	  0.71	  0.50	H	  -23.64	  -43.510	 1.542	  6.95	5540	  978	1	 64625	 266860940	 4.008
   47516	2.720057	13 31 13.151	-13 26 55.60	50047516	202.80479385	-13.44877684	  0.80	  0.56	H	 -111.09	    2.410	 0.337	  6.93	5551	 1508	1	 65949	1270916190	 6.248
   51116	2.741795	13 15 57.566	-09 37 27.35	50051116	198.98985757	-09.62426354	 40.00	 52.00	T	  -24.65	  -21.700	      	      	5537	  735	1	      	 266879674	 9.595
   47486	2.787970	13 17 13.094	-13 09 18.00	50047486	199.30455917	-13.15499917	101.90	134.40	T	        	         	      	      	5550	  435	1	      	1233474806	15.597	N
   47485	2.832690	13 16 58.447	-13 09 31.82	50047485	199.24352823	-13.15883871	  0.90	  0.55	H	  -43.11	  -11.590	 1.064	  7.78	5550	  425	1	 64808	1233458363	 5.942
   47507	2.906485	13 23 44.208	-14 02 45.66	50047507	200.93419820	-14.04601648	  3.63	  1.82	H	 -726.89	 -411.100	 1.362	 11.78	5550	  785	1	 65362
   47520	3.035414	13 33 02.838	-13 30 50.13	50047520	203.26182636	-13.51392398	  8.00	 11.00	T	  -11.11	  -21.400	      	      	5551	  601	1	      	1270952737	 6.331

#INFO	Errors=(**** indicates an Error,++++ indicates a Warning)
#++++vc_coo: explicit note that pmRA does NOT contain cos(DE) factor
#
