#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T02:54:32
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml1810
#INFO	Target=201.298247-11.161322,rm=60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
 1391429	201.28475693	-10.61141057	       	      	    0.12	    0.56	13.389	10.882	            	5547	  246	1
 1391398	200.98272552	-10.68815533	       	      	  -58.67	   31.16	12.730	12.012	            	5547	 1061	1
 1391478	201.74549637	-11.52012036	       	      	    7.82	  -11.13	12.473	12.050	            	5548	 1105	1
 1391384	200.86821852	-11.58107701	  -4.80	 46.59	  -27.68	  -14.14	11.598	10.493	            	5547	  258	1
 1391404	201.03913647	-11.73748133	       	      	    3.72	    6.96	13.505	11.835	            	5547	 1222	1
 1391450	201.45438462	-11.77601731	       	      	  -29.67	   20.46	12.390	11.797	            	5547	  695	1
 1391504	201.89851727	-10.92329549	  27.79	 37.40	  -27.32	    8.13	10.848	10.461	            	5548	  440	1
 1391427	201.28037640	-10.50991960	       	      	    8.32	    8.26	13.070	12.251	            	5547	  466	1
 1391454	201.50841252	-10.53449874	  42.59	 14.50	 -116.85	   95.37	 9.929	 9.128	G5          	5547	  115	1
 1391347	200.61886153	-11.11968357	  34.00	 55.79	  -14.68	    5.28	11.658	11.116	            	5547	  859	1
 1391367	200.76717299	-11.60520940	       	      	  -14.97	   -6.53	12.247	11.506	            	5547	  289	1
 1391351	200.66532786	-11.47951199	       	      	  -19.67	    5.96	12.034	11.839	            	5547	  507	1
 1391523	202.00936081	-11.15000434	       	      	  -48.97	   -8.13	11.899	11.613	            	5548	  830	1
 1391460	201.53745962	-11.82155833	 -94.00	 45.29	  -85.66	  -45.12	11.192	10.922	            	5547	  751	1
 1391363	200.75676221	-10.69788502	 -10.60	 18.50	   10.01	   -2.62	10.298	 9.129	K0          	5547	   83	1
 1391475	201.73299191	-10.59483450	 -21.00	 16.00	   -4.21	  -39.79	10.004	 9.086	G5          	5548	  628	1
 1391490	201.81768768	-10.66714872	  69.30	 48.09	  -28.57	  -25.27	11.330	10.434	            	5548	  367	1
 1391492	201.82684758	-10.65851176	   4.59	 21.79	  -20.59	    0.57	10.709	 9.364	K5          	5548	  408	1
 1391336	200.56310261	-11.07177593	       	      	    6.12	  -28.83	13.080	12.138	            	5547	  756	1
 1391422	201.21147476	-10.42453736	  -3.09	 16.39	  -25.26	  -25.82	10.133	 9.707	F5          	5547	   59	1
 1391414	201.10491095	-10.43867052	  12.00	 12.39	  -46.40	   -3.62	 9.578	 9.044	G0          	5547	   50	1
 1391383	200.86181214	-10.54697626	       	      	    7.42	  -37.73	12.638	12.554	            	5547	  835	1
 1391483	201.78315864	-10.58288803	       	      	  -18.17	  -30.33	12.270	11.143	            	5548	  951	1
 1391458	201.52349469	-11.89037108	       	      	  -49.87	   16.96	12.963	12.322	            	5547	  729	1
 1391437	201.36349788	-11.92522193	       	      	   -3.13	   -8.18	12.197	10.561	            	5547	 1017	1
 1391530	202.07557451	-11.04638219	 -13.80	 21.29	  -13.06	   -2.83	10.608	 9.111	K5          	5548	   77	1
 1391394	200.94253793	-10.47120776	 -33.90	 43.79	 -105.72	 -140.74	11.411	10.840	            	5547	  426	1
 1391442	201.39840839	-10.38928907	       	      	  -26.97	   -4.03	12.597	11.875	            	5547	   90	1
 1391484	201.78990270	-11.77404231	       	      	   -3.97	  -22.73	12.881	11.575	            	5548	  439	1
 1391345	200.59855763	-11.53366751	  -5.00	 39.20	    1.49	   -5.97	11.598	10.022	            	5547	  816	1
 1391328	200.51617627	-11.38422694	-129.50	 57.40	   -4.36	   12.87	11.788	11.119	            	5547	  305	1
 1391424	201.21467166	-10.36077972	       	      	    9.02	    1.46	11.961	11.299	            	5547	  496	1
 1391325	200.47926419	-11.26511238	       	      	  -25.17	   -6.53	12.491	11.114	            	5547	 1172	1
 1391388	200.90014335	-11.88651466	  45.79	 40.09	  -77.89	  -41.74	11.340	10.292	            	5547	 1371	1
 1391320	200.45912402	-11.08273105	       	      	  -12.07	   -0.83	12.313	11.754	            	5547	  425	1
 1391526	202.04752880	-10.77715763	  27.60	 31.89	  -54.04	  -30.90	10.799	 9.675	K0          	5548	  885	1
 1391539	202.11124082	-10.92990726	   1.29	 38.00	   -8.90	   10.44	10.851	 9.704	K0          	5548	  342	1
 1391543	202.14853707	-11.11291500	 -32.90	 26.70	    8.97	   -8.75	10.867	 9.859	K2          	5548	  704	1
 1391343	200.58968515	-10.68048026	  -0.60	 45.09	   -4.07	    6.07	11.015	10.330	            	5547	  731	1
 1391382	200.85433175	-10.43178878	  91.09	 59.40	  -15.93	    4.42	11.554	10.659	            	5547	  535	1
 1391339	200.56814892	-11.62371986	   1.70	 27.60	  107.83	  -67.78	10.789	10.011	            	5547	 1524	1
 1391338	200.56391279	-11.62315861	       	      	  111.80	  -77.13	11.760	10.555	            	5547	 1523	1
 1391362	200.74331577	-11.84914615	       	      	   -9.97	  -13.53	12.460	11.508	            	5547	  798	1
 1391465	201.58793650	-11.99188484	   5.59	 36.70	    0.27	   -0.96	11.318	10.340	            	5547	  870	1
 1391314	200.41068588	-11.00488485	  20.29	 50.50	   13.87	  -24.48	11.244	10.200	            	5547	  367	1
 1391542	202.13150830	-10.76784388	-378.79	 93.30	  -51.49	   32.48	10.892	10.829	            	5548	  564	1
 1391535	202.10056863	-11.62702269	 -77.80	 28.10	  -18.82	   -1.70	10.547	10.200	F5          	5548	  593	1
 1391463	201.54591855	-10.27332602	       	      	  -53.37	   47.86	13.128	12.301	            	5547	 1136	1
 1391311	200.38278548	-10.91775370	       	      	   -7.37	    2.96	12.454	12.163	            	5547	  156	1
 1391554	202.21117452	-11.41692517	       	      	    7.52	  -21.63	13.091	11.889	            	5548	  390	1
 1391375	200.81956350	-10.34810551	  22.20	 17.20	  -27.10	   16.50	10.212	 9.514	G5          	5547	  114	1
 1391323	200.47460520	-10.68163880	  63.59	 55.59	   -0.81	  -16.17	11.331	10.307	            	5547	 1288	1
 1391556	202.24491259	-11.00842676	       	      	   -2.87	    4.76	11.662	11.354	            	5548	  620	1
 1391469	201.66505899	-12.04281981	  95.00	 42.79	  -39.14	  -28.93	11.048	10.277	            	5547	 1292	1
 1391541	202.12274673	-10.64459820	       	      	  -62.37	  -41.53	12.449	11.806	            	5548	 1138	1
 1391329	200.52068549	-10.57193501	 133.00	 72.09	  -25.82	   -2.99	11.828	11.173	            	5547	  763	1
 1391359	200.71353067	-11.94676219	       	      	   -8.57	   -2.43	12.400	12.119	            	5547	 1175	1
 1391524	202.01884345	-11.83440738	  85.50	 42.59	  -36.84	  -31.87	11.110	10.461	            	5548	  522	1
 1391517	201.95419362	-10.42635896	       	      	  -23.47	    9.06	12.944	11.729	            	5548	  295	1
 1391297	200.31892086	-10.96630566	       	      	  -10.57	   -7.63	12.305	11.683	            	5547	  546	1
 1391317	200.44514746	-10.63087398	       	      	  -39.47	    2.66	11.996	11.109	            	5547	  543	1
 1391503	201.88814700	-10.35620000	       	      	  -74.75	 -159.74	15.453	14.227	K5

